Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,513613,Anthone Taylor,RB,Buffalo,Mid-American,285,0.141,0.077,0.147,0.052,0.052,0.67,0.097,0.34,40.248,1.684,38.564,7.57,5.085,26.811,22.576,17.672
2014,534616,Charles Jones,RB,Kansas State,Big 12,137,0.142,0.464,0.114,0.059,0.286,0.135,0.089,0.546,19.477,5.102,14.375,4.923,12.565,1.214,10.734,8.743
2014,504786,Sean Mannion,QB,Oregon State,Pac-12,452,0.142,0.164,-0.544,0.097,0.1,0.353,0.032,0.31,64.151,71.764,-7.612,17.645,14.385,41.326,8.733,55.418
2014,534240,Shaun Wick,RB,Wyoming,Mountain West,132,0.142,0.018,0.157,0.072,0.088,0.166,0.114,0.239,18.76,0.257,18.502,5.368,3.444,2.655,11.59,7.17
2014,501046,Anthony Boone,QB,Duke,ACC,507,0.142,0.126,0.231,0.02,0.064,0.406,0.062,0.255,71.989,53.743,18.246,3.804,10.231,58.49,18.413,53.576
2014,511399,Jahwan Edwards,RB,Ball State,Mid-American,295,0.143,0.293,0.124,0.112,0.099,0.168,0.101,0.308,42.203,9.658,32.545,16.179,10.433,6.895,23.742,18.461
2014,532974,Marteze Waller,RB,Fresno State,Mountain West,248,0.144,-0.219,0.196,0.096,0.125,0.581,0.132,0.184,35.719,-6.8,42.52,12.89,9.251,18.605,24.875,10.845
2014,531801,James Knapke,QB,Bowling Green,Mid-American,530,0.144,0.114,0.464,0.021,0.092,0.529,-0.079,0.416,76.453,55.086,21.366,3.828,17.262,75.587,-22.981,99.434
2014,507211,Brandon Bridge,QB,South Alabama,Sun Belt,365,0.146,0.126,0.232,-0.001,0.265,0.239,0.007,0.33,53.41,37.205,16.205,-0.19,31.017,24.416,1.545,51.865
2014,530483,Shaquille Powell,RB,Duke,ACC,155,0.147,0.377,0.107,0.018,0.14,0.501,0.129,0.219,22.748,8.671,14.077,1.414,7.854,8.012,15.968,6.781
2014,511699,Thomas Rawls,RB,Central Michigan,Mid-American,223,0.149,0.211,0.145,0.093,0.056,0.871,0.103,0.423,33.287,3.165,30.122,11.089,4.057,26.144,19.75,13.537
