season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2022,Kyle Fuller,8649,CB,BLT,1,0,0,60,0,0,3,0,0,61,55.3,79.1,59.1,30,53.1,0,0,0,0,12,25,1,0,1,71.3,3,0,0,6,54,61,80,4,0,0,4,0,0,76,1,18,16,0,3,0,5,0,0,23,0,7.7
2022,C.J. Mosley,8652,LB,NYJ,17,43,0,65.8,0,0,22,1,0,65.9,69.8,29.5,63.9,73.8,70.2,2,2,0,1,51,8.7,15,6,4,83,48,2,0,1046,1,615,1113,28,0,0,28,0,3,1085,37,461,35,51,115,7,73,6,1,477,303,9.9
2022,Jimmie Ward,8665,S,SF,12,13,0,81.4,1,1,28,0,0,69.3,76.1,83.3,62.6,91.8,65,2,0,0,3,33,8.5,5,0,1,94,57,0,0,58,4,365,509,5,0,0,5,0,2,504,14,130,440,19,41,2,70,2,4,440,257,7.7
2022,Bradley Roby,8666,CB,NO,13,7,0,53.7,0,0,20,2,0,49.6,45.4,54.3,67.8,30,29.4,0,3,0,0,60,23.4,11,5,3,79.4,36,0,0,50,264,381,628,2,0,0,2,0,6,626,9,238,306,7,29,1,67,3,1,444,208,12.3
2022,DeMarcus Lawrence,8669,ED,DAL,17,9,3,,1,3,9,2,1,73.3,78.1,70.7,74.6,68.2,45.6,8,41,0,0,,15.7,11,0,2,0,0,6,0,30,0,10,696,665,0,16,573,76,0,31,417,269,1,44,50,5,0,55,0,0,0,
2022,Kyle Van Noy,8675,ED,LAC,17,8,1,72.7,0,1,27,2,0,65.2,63.4,65.2,60.6,62.3,67.6,5,22,0,0,37,8.9,4,1,2,121,8,5,0,85,2,109,733,626,0,0,626,0,0,107,330,294,20,25,33,5,11,32,1,74,60,9.3
2022,Lamarcus Joyner,8676,S,NYJ,14,16,0,71.4,0,0,22,1,0,53.4,57,64.7,82.5,62.1,54.2,2,1,0,3,55,14.5,9,3,3,106.1,20,0,0,122,2,514,872,18,0,0,18,0,639,854,9,349,91,8,37,0,28,3,4,299,72,15
2022,Jeremiah Attaochu,8685,ED,LAC,3,0,0,,0,0,27,0,0,,64.9,75.6,62.7,62.2,72.8,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,21,0,0,0,5,16,0,1,2,1,0,1,0,0,0,
2022,Christian Kirksey,8706,LB,HST,17,35,0,76.1,0,0,13,1,0,52.5,56.1,88.6,78.1,55,62.4,3,10,0,2,30,11.7,16,2,0,97.6,54,4,0,1019,8,546,1139,15,0,0,15,0,17,1124,56,537,80,40,86,5,71,17,2,587,336,10.9
2022,Justin Ellis,8742,DI,NYG,17,8,0,,0,0,21,0,0,57.2,31.3,86.5,46.7,30.3,44.9,0,1,0,0,,13,3,0,0,0,0,1,0,0,0,1,362,362,149,199,0,14,0,0,174,187,0,8,12,1,0,2,0,0,0,
