Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
187,Morehead State,34,26,8,0.765,0.7,-6.07,14,4,14,1,9,7,2566,2135,1360,757,1947,0.389,189,639,0.296,432,575,0.751,318,1036,307,202,83,358,538
188,Morgan State,31,11,20,0.355,-15.88,-5.7,7,7,8,5,3,12,2253,2402,1250,846,1902,0.445,210,612,0.343,500,730,0.685,413,1159,405,253,114,401,489
189,Mount St. Mary's,32,13,19,0.406,-6.3,-7.21,9,11,8,5,5,13,2327,2298,1295,819,1890,0.433,227,657,0.346,433,572,0.757,315,1037,406,285,92,403,478
190,Murray State,32,12,20,0.375,0.56,1.78,9,11,8,8,4,9,2232,2237,1285,811,1750,0.463,273,743,0.367,342,474,0.722,253,1063,433,155,105,379,490
191,Navy,31,13,18,0.419,-11.44,-9.28,8,10,10,5,3,13,2060,2067,1250,715,1660,0.431,221,683,0.324,416,582,0.715,309,1116,397,147,148,420,568
192,NC State,36,22,14,0.611,11.57,7.91,9,11,12,5,4,7,2749,2617,1455,933,2104,0.443,259,745,0.348,492,672,0.732,368,1300,467,187,112,450,583
193,Nebraska,33,23,10,0.697,15.12,7.64,12,8,18,1,3,8,2560,2313,1335,819,2065,0.397,275,862,0.319,400,572,0.699,400,1228,432,206,119,379,530
194,Nevada,33,26,7,0.788,13.38,4.76,13,5,15,2,8,3,2522,2213,1325,768,1840,0.417,243,764,0.318,434,624,0.696,314,1080,425,162,78,393,702
195,Nevada-Las Vegas,31,19,12,0.613,8.92,6.34,12,6,12,6,7,3,2270,2103,1260,742,1762,0.421,209,666,0.314,410,543,0.755,338,1056,436,186,106,392,525
196,New Hampshire,31,16,15,0.516,-6.04,-3.51,7,9,9,5,7,10,2298,2297,1245,843,1930,0.437,223,748,0.298,388,531,0.731,289,1205,426,234,142,380,507
197,New Mexico,35,26,9,0.743,16.02,5.46,10,8,13,3,5,6,2860,2468,1400,868,2059,0.422,227,750,0.303,505,691,0.731,344,1235,470,204,151,495,633
198,New Mexico State,32,13,19,0.406,-8.32,1.04,7,9,12,3,1,13,2166,2318,1295,762,1812,0.421,261,766,0.341,533,759,0.702,312,1128,428,228,85,373,525
199,New Orleans,33,10,23,0.303,-16.33,-5.44,4,14,7,6,2,15,2427,2622,1326,937,1997,0.469,214,631,0.339,534,738,0.724,403,1314,502,210,132,483,665
200,Niagara,32,16,16,0.5,-8.14,-6.95,11,9,5,9,10,6,2319,2307,1295,862,1834,0.47,179,508,0.352,404,567,0.713,264,1008,357,212,105,363,577
201,Nicholls State,34,20,14,0.588,-6.65,-4.88,13,5,10,2,8,10,2512,2514,1405,879,2025,0.434,229,727,0.315,527,779,0.677,403,1252,435,259,125,389,592
202,NJIT,28,7,21,0.25,-14.49,-4.3,3,13,5,8,2,13,1902,2101,1120,735,1598,0.46,198,568,0.349,433,626,0.692,306,1059,397,170,98,331,444
203,Norfolk State,33,22,11,0.667,-6.25,-7.6,11,3,13,0,6,8,2452,2231,1325,718,1749,0.411,265,788,0.336,530,737,0.719,342,1094,435,194,98,515,618
204,North Alabama,32,15,17,0.469,-6.77,-4.61,8,8,10,4,5,13,2447,2435,1306,833,1870,0.445,227,649,0.35,542,750,0.723,310,1135,396,166,112,325,560
205,North Carolina,34,27,7,0.794,21,9.76,17,3,14,1,8,2,2770,2388,1365,854,2097,0.407,238,757,0.314,442,594,0.744,302,1146,347,191,131,363,639
206,North Carolina A&T,32,7,25,0.219,-16.15,-3.78,5,13,4,7,2,14,2098,2494,1280,926,1931,0.48,253,719,0.352,389,570,0.682,371,1306,491,169,113,347,534
207,North Carolina Central,31,18,13,0.581,-7.7,-8.66,9,5,11,2,6,9,2375,2139,1250,747,1773,0.421,181,644,0.281,464,638,0.727,360,1096,381,179,106,432,564
208,North Dakota,32,18,14,0.563,-5.91,-5.77,10,6,9,5,7,8,2408,2300,1285,849,1871,0.454,214,636,0.336,388,524,0.74,277,1077,339,187,61,343,550
209,North Dakota State,32,15,17,0.469,-7.24,-2.83,8,8,10,4,5,11,2388,2366,1315,879,1909,0.46,232,647,0.359,376,517,0.727,256,1026,369,171,115,303,510
210,North Florida,32,16,16,0.5,-6.63,-4.53,9,7,11,5,5,11,2496,2427,1295,889,1928,0.461,200,581,0.344,449,614,0.731,313,1144,394,221,91,336,485
211,North Texas,32,18,14,0.563,8.8,4.17,10,8,11,4,5,5,2211,2020,1290,685,1667,0.411,192,598,0.321,458,648,0.707,335,1041,309,215,124,395,492
212,Northeastern,32,12,20,0.375,-5.92,-2.98,7,11,7,5,4,13,2221,2315,1280,834,1792,0.465,261,696,0.375,386,507,0.761,282,981,425,208,96,357,488
213,Northern Arizona,33,14,19,0.424,-11.85,-3.85,7,11,7,5,6,12,2265,2529,1330,905,1908,0.474,208,649,0.32,511,714,0.716,343,1207,425,244,95,384,560
214,Northern Colorado,32,19,13,0.594,-3.99,-4.89,12,6,11,3,7,8,2568,2491,1320,891,1966,0.453,281,796,0.353,428,566,0.756,287,1094,416,213,96,365,525
